"name","en_name","price:","net_price","discount_percent","review_count","review_rate",subcategory_name
"랑데뷰 까베르네-시라","Rendez-Vous Cabernet Syrah","19900","null","0","0","0","레드 와인"
"스톤 베이 소비뇽 블랑","Stone Bay Sauvignon Blanc","28900","null","0","39","4.8","화이트 와인"
"보테가 스파클링 제로 로제","Bottega Sparkling Zero Rose","24900","null","0","0","0","논알콜"
"글렌알라키 7년 헝가리안 버진 오크 피니쉬","GlenAllachie 7yo Hungarian Virgin Oak Finish","179000","null","0","1","5","싱글몰트"
"글렌알라키 8년 스코티쉬 버진 오크 피니쉬","GlenAllachie 8yo Scottish Virgin Oak Finish","192000","null","0","1","5","싱글몰트"
"글렌알라키 10년 스페니쉬 버진 오크 피니쉬","GlenAllachie 10yo Spanish Virgin Oak Finish","209000","null","0","2","5","싱글몰트"
"XOP 스페이사이드 30년 CS","XOP Speyside 30yo CS","750000","null","0","0","0","싱글몰트"
"리차드 헤네시","Richard Hennessy","5500000","null","0","0","0","꼬냑"
"스타리버 베니와인 캠벨","Starriver Bebby Wine Campbell","24900","null","0","0","0","레드 와인"
"스타리버 베니와인 애플","Starriver Bebby Wine Apple","24900","null","0","0","0","발효주"
"불렛 버번 10년","Bulleit Bourbon 10yo","69000","null","0","2","4.5","아메리칸(버번)"
"[[10% 할인가]] 맥네어스 럼 파나마 7년 피티드","Macnair's Exploration Rum Panama 7yo Peated","108000","null","0","7","4.7",""
"골든블루 다이아몬드","Golden Blue The Diamond","47000","null","0","2","5","블렌디드"
"투 리버즈 소비뇽 블랑","Two Rivers Sauvignon Blanc","32000","null","0","1","5","화이트 와인"
"맥캘란 12년 셰리 오크 & 옐로우 로즈 라이","Macallan 12yo Sherry Oak & Yellow Rose Rye","263000","null","0","0","0","싱글몰트"
"카리나 모스카토 다스티","Carina Moscato D'asti","20000","null","0","0","0","스파클링 와인"
"[2004] 돔 페리뇽 P2","Dom Perignon P2","820000","null","0","0","0","스파클링 와인"
"우드포드 리저브 더블 오크드","Woodford Reserve Double Oaked","128000","null","0","21","4.8","아메리칸(버번)"
"맥캘란 12년 셰리 오크 & 옐로우 로즈 해리스 카운티","Macallan 12yo Sherry Oak & Yellow Rose Harris County","253000","null","0","3","4.7",""
"커티 삭 프로히비션 에디션","Cutty Sark Prohibition Edition","45000","null","0","308","4.8","블렌디드"
"맥캘란 18년 셰리 오크 2022 & 글렌알라키 8년","The Macallan 18yo Sherry Oak 2022 & GlenAllachie 8yo","770000","null","0","0","0","싱글몰트"
"로얄살루트 21년 블렌디드 그레인","Royal Salute 21yo Blended Grain","259000","null","0","4","4.5","블렌디드"
"글렌알라키 10년 CS 배치 9","GlenAllachie 10yo Cask Strength Batch 9","189000","null","0","30","4.9","싱글몰트"
"글렌알라키 10년 CS 배치 9","GlenAllachie 10yo Cask Strength Batch 9","172000","null","0","30","4.9","싱글몰트"
"툴리바딘 225 소테른 캐스크 피니쉬","Tullibardine 225 Sauternes Cask Finish","93000","null","0","17","4.6","싱글몰트"
"툴리바딘 228 버건디 캐스크 피니쉬","Tullibardine 228 Burgundy Cask Finish","93000","null","0","39","4.7","싱글몰트"
"툴리바딘 500 셰리 캐스크 피니쉬","Tullibardine 500 Sherry Cask Finish","93000","null","0","35","4.8","싱글몰트"
"툴리바딘 15년","Tullibardine 15yo","152000","null","0","32","5","싱글몰트"
